
 Artist Name: "Bad Bunny"	 Stream: 5516612
 Artist Name: "Lil Uzi Vert"	 Stream: 5487510
 Artist Name: Y2K	 Stream: 5417827
 Artist Name: "J Balvin"	 Stream: 5392583
 Artist Name: "DÃ­melo Flow"	 Stream: 5364617
 Artist Name: "Juice WRLD"	 Stream: 5334433
 Artist Name: "James Arthur"	 Stream: 5332015
 Artist Name: JACKBOYS	 Stream: 5319141
 Artist Name: "Ed Sheeran"	 Stream: 5285817
 Artist Name: NAV	 Stream: 5279906
 Artist Name: "Bad Bunny"	 Stream: 5231700
 Artist Name: "Juice WRLD"	 Stream: 5225786
 Artist Name: "Lil Uzi Vert"	 Stream: 5220139
 Artist Name: DaBaby	 Stream: 5209815
 Artist Name: Gunna	 Stream: 5193309
 Artist Name: Halsey	 Stream: 5190315
 Artist Name: "Anuel AA"	 Stream: 5140073
 Artist Name: "Apache 207"	 Stream: 5139801
 Artist Name: "Post Malone"	 Stream: 5134161
 Artist Name: "Bad Bunny"	 Stream: 5133197
 Artist Name: Yandel	 Stream: 5132247
 Artist Name: "Alex Rose"	 Stream: 5084564
 Artist Name: "Ali Gatie"	 Stream: 5083069
 Artist Name: "Noah Cyrus"	 Stream: 5027694
 Artist Name: "Jonas Brothers"	 Stream: 5018592
 Artist Name: "Jhay Cortez"	 Stream: 5009156
 Artist Name: "Bad Bunny"	 Stream: 4987116
 Artist Name: "Don Toliver"	 Stream: 4945908
 Artist Name: "Lil Nas X"	 Stream: 4939163
 Artist Name: "Ava Max"	 Stream: 4931003
 Artist Name: "5 Seconds of Summer"	 Stream: 4913862
 Artist Name: "Jonas Brothers"	 Stream: 4906299
 Artist Name: "J Balvin"	 Stream: 4893662
 Artist Name: "Rauw Alejandro"	 Stream: 4880808
 Artist Name: Sia	 Stream: 4861870
 Artist Name: "Jonas Brothers"	 Stream: 4859255
 Artist Name: "Tame Impala"	 Stream: 4853702
 Artist Name: S1mba	 Stream: 4851878
 Artist Name: Kina	 Stream: 4844975
 Artist Name: "Lewis Capaldi"	 Stream: 4830711
 Artist Name: "Selena Gomez"	 Stream: 4822183
 Artist Name: "Post Malone"	 Stream: 4805428
 Artist Name: IU	 Stream: 4764954
 Artist Name: Halsey	 Stream: 4761908
 Artist Name: "Chris Brown"	 Stream: 4742654
 Artist Name: "Natalie Taylor"	 Stream: 4736466
 Artist Name: "Alexander 23"	 Stream: 4722951
 Artist Name: "Dean Lewis"	 Stream: 4711701
 Artist Name: XXXTENTACION	 Stream: 4693885
 Artist Name: "Rauw Alejandro"	 Stream: 4693548
 Artist Name: Kygo	 Stream: 4662680
 Artist Name: "Harry Styles"	 Stream: 4658350
 Artist Name: 24kGoldn	 Stream: 4645541
 Artist Name: Vicetone	 Stream: 4642284
 Artist Name: Pashanim	 Stream: 4641118
 Artist Name: Kygo	 Stream: 4636775
 Artist Name: PUBLIC	 Stream: 4636601
 Artist Name: "John Legend"	 Stream: 4621202
 Artist Name: Drake	 Stream: 4620148
 Artist Name: "Camila Cabello"	 Stream: 4617573
 Artist Name: "Bad Bunny"	 Stream: 4577519
 Artist Name: "The Weeknd"	 Stream: 4575080
 Artist Name: "Ariana Grande"	 Stream: 4572855
 Artist Name: "The Weeknd"	 Stream: 4559855
 Artist Name: "Travis Scott"	 Stream: 4537762
 Artist Name: Lauv	 Stream: 4515080
 Artist Name: "Pop Smoke"	 Stream: 4482294
 Artist Name: MEDUZA	 Stream: 4474003
 Artist Name: "Tones And I"	 Stream: 4473968
 Artist Name: "Post Malone"	 Stream: 4454018
 Artist Name: "Sam Smith"	 Stream: 4451454
 Artist Name: Arcangel	 Stream: 4440738
 Artist Name: jxdn	 Stream: 4435538
 Artist Name: "The Chainsmokers"	 Stream: 4432498
 Artist Name: Sech	 Stream: 4419295
 Artist Name: "Nicky Jam"	 Stream: 4407165

 Average Stream: 8572082.06
